Designator,Qty,Comment,Footprint,JLC PartNo.
"LED1, LED2, LED3, LED4",4,LED,0805,C389524
"C4, C9",2,100nF,C7173,C7173
C1,1,120uF,C134861,C134861
C11,1,1uF,C7176,C7176
C10,1,2.2uF,C19276,C19276
"R1, R2, R3, R5, R6, R10, R4",7,2.4k,0805,C17526
C2,1,22uF,C1578600,C1578600
"J2, J6, J8, J9",4,30A-SCREW-CONN,50X72,C481448
"C3, C8",2,330nF,C8014,C8014
"R7, R8, R9",3,510R,0805,C17734
"D1, D2, D3",3,B360A-13-F,DO-214AC,C94193
"KK1, KK3, KK4",3,C286227,C286227,C286227
J1,1,C136744,C136744,C136744
