Designator,Mid X,Mid Y,Layer,Rotation
J1,15,-28.5,T,270
J10,5.27,25.21,T,270
J11,110,59,T,90
J12,125,59,T,90
J13,140,59,T,90
J14,155,59,T,90
J15,95,24,T,90
J16,110,24,T,90
J17,125,24,T,90
J18,140,24,T,90
J19,155,24,T,90
J2,30,-28.5,T,270
J20,175,59,T,90
J21,190,59,T,90
J22,205,59,T,90
J23,220,59,T,90
J24,235,59,T,90
J25,95,-28.5,T,270
J26,110,-28.5,T,270
J27,125,-28.5,T,270
J28,140,-28.5,T,270
J29,155,-28.5,T,270
J3,75.27,60.46,T,270
J30,175,-28.5,T,270
J31,190,-28.5,T,270
J32,205,-28.5,T,270
J33,220,-28.5,T,270
J34,235,-28.5,T,270
J4,75.27,25.21,T,270
J5,5.27,60.46,T,270
J6,45,-28.5,T,270
J7,60,-28.5,T,270
J8,75,-28.5,T,270
J9,95,59,T,90
